City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Aljezur,PT,37.3191,-8.8033,287.86,81,100,5.35,overcast clouds
290,Dzhebariki-Khaya,RU,62.2167,135.8,231.34,100,93,0.43,overcast clouds
291,Carndonagh,IE,55.25,-7.2667,285.94,77,47,6.93,scattered clouds
292,Hasaki,JP,35.7333,140.8333,273.83,53,98,11.06,overcast clouds
293,Zhuhai,CN,22.2769,113.5678,288.03,67,40,9.26,scattered clouds
294,Samarai,PG,-10.6167,150.6667,300.73,78,97,4.12,overcast clouds
295,Lebanon,US,36.2081,-86.2911,293.58,40,0,7.72,clear sky
296,Portland,US,45.5234,-122.6762,277.36,93,75,2.06,broken clouds
297,Nanortalik,GL,60.1432,-45.2371,262.99,71,2,10.25,clear sky
298,Tambun,ID,-6.2641,107.0712,299.84,81,81,3.37,broken clouds
299,Houma,US,29.5958,-90.7195,297.15,73,100,4.92,overcast clouds
300,Qaanaaq,GL,77.484,-69.3632,243.24,91,100,1.13,overcast clouds
301,Kosa,RU,59.9445,54.9977,265.53,97,100,1.57,light snow
302,Angoche,MZ,-16.2325,39.9086,298.75,85,64,5.79,light rain
303,Plettenberg Bay,ZA,-34.0527,23.3716,294.35,88,100,0.37,overcast clouds
304,Ilulissat,GL,69.2167,-51.1,247.16,58,0,3.09,clear sky
305,Corrente,BR,-3.7367,-43.3394,302.46,65,100,2.68,overcast clouds
306,Safaga,EG,26.7292,33.9365,288.87,42,0,9.66,clear sky
307,San-Pedro,CI,4.7485,-6.6363,299.28,84,95,1.56,light rain
308,Nishihara,JP,26.1842,127.7558,289.75,70,100,8.23,overcast clouds
309,Giulianova,IT,42.7612,13.9537,283.7,65,0,1.89,clear sky
310,Chokurdakh,RU,70.6333,147.9167,232.74,100,98,0.72,overcast clouds
311,Vestmannaeyjar,IS,63.4427,-20.2734,277.7,81,40,7.2,scattered clouds
312,Ikwiriri,TZ,-7.9562,38.9716,296.56,89,5,1.74,clear sky
313,Victoria,HK,22.2855,114.1577,289.4,65,100,8.05,overcast clouds
314,Merauke,ID,-8.4667,140.3333,298.76,88,97,5.79,overcast clouds
315,Kampene,CD,-3.6,26.6667,296.21,71,94,1.04,overcast clouds
316,Winnemucca,US,40.973,-117.7357,270.0,40,100,5.75,overcast clouds
317,Lichuan,CN,30.3,108.85,274.33,93,99,1.58,overcast clouds
318,Challans,FR,46.8436,-1.8749,282.57,84,100,4.25,overcast clouds
319,San Carlos De Bariloche,AR,-41.1456,-71.3082,285.01,58,75,10.29,broken clouds
320,Vostok,RU,46.4856,135.8833,249.14,99,100,1.11,overcast clouds
321,Nadym,RU,65.5333,72.5167,258.51,96,98,3.46,overcast clouds
322,Itarema,BR,-2.9248,-39.9167,301.98,69,90,6.85,overcast clouds
323,Narsaq,GL,60.9167,-46.05,262.27,86,3,1.74,clear sky
